EdgeID,Tension,stdError
271,0.932093,0.283338,Normal-Normal
272,0.660860,0.261460,Normal-Normal
273,0.591466,0.254499,Normal-Normal
274,0.521298,0.214122,Normal-Normal
275,0.791066,0.279406,Normal-Normal
276,0.716845,0.248897,Normal-Normal
277,0.573512,0.223485,Normal-Normal
279,1.015943,0.461148,Normal-Normal
280,0.672215,0.294773,Normal-Normal
282,1.320224,0.419277,Normal-Normal
283,1.379979,0.372754,Normal-Normal
284,0.797640,0.274208,Normal-Normal
285,0.253438,0.190327,Normal-Normal
286,0.999530,0.298733,Normal-Normal
287,0.419135,0.218535,Normal-Normal
288,0.450895,0.229436,Normal-Normal
289,0.451365,0.218784,Normal-Normal
290,0.840219,0.311867,Normal-Normal
291,0.844970,0.278631,Normal-Normal
292,0.796845,0.345722,Normal-Normal
293,0.750590,0.264726,Normal-Normal
294,0.768179,0.252311,Normal-Normal
295,0.468155,0.210958,Normal-Normal
296,1.168809,0.334215,Normal-Normal
297,0.971154,0.290631,Normal-Normal
298,0.921619,0.277546,Normal-Normal
299,1.022038,0.300284,Normal-Normal
300,0.555518,0.206016,Normal-Normal
301,0.810011,0.261764,Normal-Normal
303,2.082125,0.479853,Normal-Normal
304,1.833892,0.479296,Normal-Normal
305,1.399831,0.347051,Normal-Normal
306,1.583335,0.379659,Normal-Normal
307,1.372936,0.301143,Normal-Normal
308,0.629806,0.223867,Normal-Normal
309,0.847619,0.273036,Normal-Normal
310,0.898543,0.263130,Normal-Normal
311,1.008073,0.273177,Normal-Normal
312,0.694074,0.243054,Normal-Normal
313,0.602920,0.230000,Normal-Normal
314,1.026285,0.288273,Normal-Normal
315,0.791135,0.264088,Normal-Normal
316,0.758346,0.256733,Normal-Normal
317,0.732868,0.236132,Normal-Normal
319,0.888747,0.445174,Normal-Normal
320,0.320184,0.221530,Normal-Normal
321,0.820069,0.263827,Normal-Normal
322,0.436631,0.216695,Normal-Normal
323,0.789644,0.235844,Normal-Normal
324,1.196299,0.318298,Normal-Normal
325,1.050938,0.275491,Normal-Normal
326,0.811228,0.230182,Normal-Normal
327,1.216439,0.297779,Normal-Normal
328,1.308507,0.371824,Normal-Normal
329,1.017777,0.296131,Normal-Normal
330,1.279625,0.392859,Normal-Normal
331,0.820462,0.245968,Normal-Normal
333,4.181405,0.860167,Normal-Normal
334,1.341301,0.325379,Normal-Normal
335,0.795105,0.233096,Normal-Normal
